course_id,teacher_id,classroom,class_time
Медицина 325,Гаврила,Ауд. 212,2025-06-05 09:00:00.956483
Медицина 325,Гаврила,Ауд. 153,2025-06-12 15:00:00.956489
Медицина 325,Гаврила,Ауд. 471,2025-06-19 17:00:00.956495
Медицина 325,Гаврила,Ауд. 277,2025-06-26 14:00:00.956501
Медицина 325,Гаврила,Ауд. 296,2025-07-03 18:00:00.956507
Медицина 325,Гаврила,Ауд. 463,2025-07-10 12:00:00.956512
Медицина 325,Гаврила,Ауд. 398,2025-07-17 17:00:00.956518
Медицина 325,Гаврила,Ауд. 383,2025-07-24 15:00:00.956525
Медицина 325,Гаврила,Ауд. 371,2025-07-31 12:00:00.956531
Медицина 325,Гаврила,Ауд. 402,2025-08-07 08:00:00.956537
Медицина 325,Гаврила,Ауд. 145,2025-08-14 13:00:00.956542
Медицина 325,Гаврила,Ауд. 174,2025-08-21 12:00:00.956548
Медицина 325,Гаврила,Ауд. 186,2025-08-28 15:00:00.956554
Медицина 325,Гаврила,Ауд. 456,2025-09-04 11:00:00.956561
Медицина 736,Гаврила,Ауд. 363,2025-05-22 12:00:00.956567
Медицина 736,Гаврила,Ауд. 314,2025-05-29 14:00:00.956573
Медицина 736,Гаврила,Ауд. 461,2025-06-05 18:00:00.956579
Медицина 736,Гаврила,Ауд. 483,2025-06-12 15:00:00.956585
Медицина 736,Гаврила,Ауд. 403,2025-06-19 17:00:00.956591
Медицина 736,Гаврила,Ауд. 376,2025-06-26 12:00:00.956600
Медицина 736,Гаврила,Ауд. 167,2025-07-03 09:00:00.956606
Медицина 736,Гаврила,Ауд. 176,2025-07-10 18:00:00.956612
Медицина 736,Гаврила,Ауд. 234,2025-07-17 13:00:00.956618
Медицина 736,Гаврила,Ауд. 394,2025-07-24 10:00:00.956625
Медицина 736,Гаврила,Ауд. 375,2025-07-31 14:00:00.956630
Медицина 736,Гаврила,Ауд. 141,2025-08-07 09:00:00.956637
Медицина 736,Гаврила,Ауд. 209,2025-08-14 16:00:00.956642
Медицина 736,Гаврила,Ауд. 491,2025-08-21 17:00:00.956648
Медицина 736,Гаврила,Ауд. 372,2025-08-28 15:00:00.956654
Медицина 736,Гаврила,Ауд. 305,2025-09-04 08:00:00.956660
Биология 390,Терентий,Ауд. 234,2025-05-22 09:00:00.956667
Биология 390,Терентий,Ауд. 492,2025-05-29 17:00:00.956676
Биология 390,Терентий,Ауд. 212,2025-06-05 10:00:00.956682
Биология 390,Терентий,Ауд. 273,2025-06-12 13:00:00.956687
Биология 390,Терентий,Ауд. 324,2025-06-19 08:00:00.956693
Биология 390,Терентий,Ауд. 187,2025-06-26 18:00:00.956699
Биология 390,Терентий,Ауд. 350,2025-07-03 08:00:00.956705
Биология 390,Терентий,Ауд. 241,2025-07-10 13:00:00.956711
Биология 390,Терентий,Ауд. 430,2025-07-17 16:00:00.956716
Биология 390,Терентий,Ауд. 373,2025-07-24 09:00:00.956722
Биология 390,Терентий,Ауд. 446,2025-07-31 10:00:00.956727
Биология 390,Терентий,Ауд. 303,2025-08-07 13:00:00.956733
Биология 390,Терентий,Ауд. 118,2025-08-14 12:00:00.956739
Биология 390,Терентий,Ауд. 395,2025-08-21 16:00:00.956748
Биология 390,Терентий,Ауд. 367,2025-08-28 17:00:00.956753
Биология 390,Терентий,Ауд. 454,2025-09-04 10:00:00.956760
Психология 461,Терентий,Ауд. 425,2025-05-22 16:00:00.956767
Психология 461,Терентий,Ауд. 296,2025-05-29 14:00:00.956772
Психология 461,Терентий,Ауд. 390,2025-06-05 17:00:00.956780
Психология 461,Терентий,Ауд. 311,2025-06-12 15:00:00.956786
Психология 461,Терентий,Ауд. 192,2025-06-19 13:00:00.956792
Психология 461,Терентий,Ауд. 386,2025-06-26 16:00:00.956797
Психология 461,Терентий,Ауд. 196,2025-07-03 11:00:00.956803
Психология 461,Терентий,Ауд. 275,2025-07-10 13:00:00.956809
Психология 461,Терентий,Ауд. 214,2025-07-17 08:00:00.956815
Психология 461,Терентий,Ауд. 484,2025-07-24 16:00:00.956821
Психология 461,Терентий,Ауд. 328,2025-07-31 17:00:00.956826
Психология 461,Терентий,Ауд. 310,2025-08-07 08:00:00.956832
Психология 461,Терентий,Ауд. 379,2025-08-14 10:00:00.956837
Психология 461,Терентий,Ауд. 470,2025-08-21 18:00:00.956846
Психология 461,Терентий,Ауд. 109,2025-08-28 09:00:00.956852
Психология 461,Терентий,Ауд. 318,2025-09-04 08:00:00.956858
Математический анализ 560,Болеслав,Ауд. 388,2025-05-22 16:00:00.956865
Математический анализ 560,Болеслав,Ауд. 224,2025-05-29 11:00:00.956870
Математический анализ 560,Болеслав,Ауд. 333,2025-06-05 18:00:00.956876
Математический анализ 560,Болеслав,Ауд. 341,2025-06-12 17:00:00.956881
Математический анализ 560,Болеслав,Ауд. 401,2025-06-19 15:00:00.956887
Математический анализ 560,Болеслав,Ауд. 391,2025-06-26 10:00:00.956893
Математический анализ 560,Болеслав,Ауд. 102,2025-07-03 14:00:00.956899
Математический анализ 560,Болеслав,Ауд. 488,2025-07-10 11:00:00.956905
Математический анализ 560,Болеслав,Ауд. 426,2025-07-17 15:00:00.956914
Математический анализ 560,Болеслав,Ауд. 423,2025-07-24 14:00:00.956920
Математический анализ 560,Болеслав,Ауд. 352,2025-07-31 18:00:00.956926
Математический анализ 560,Болеслав,Ауд. 467,2025-08-07 09:00:00.956932
Математический анализ 560,Болеслав,Ауд. 283,2025-08-14 15:00:00.956937
Математический анализ 560,Болеслав,Ауд. 123,2025-08-21 10:00:00.956946
Математический анализ 560,Болеслав,Ауд. 445,2025-08-28 13:00:00.956952
Математический анализ 560,Болеслав,Ауд. 302,2025-09-04 10:00:00.956957
Экономика 526,Болеслав,Ауд. 300,2025-05-22 17:00:00.956964
Экономика 526,Болеслав,Ауд. 326,2025-05-29 11:00:00.956969
Экономика 526,Болеслав,Ауд. 191,2025-06-05 15:00:00.956975
Экономика 526,Болеслав,Ауд. 416,2025-06-12 08:00:00.956981
Экономика 526,Болеслав,Ауд. 196,2025-06-19 15:00:00.956986
Экономика 526,Болеслав,Ауд. 129,2025-06-26 11:00:00.956992
Экономика 526,Болеслав,Ауд. 150,2025-07-03 11:00:00.956998
Экономика 526,Болеслав,Ауд. 159,2025-07-10 12:00:00.957004
Экономика 526,Болеслав,Ауд. 494,2025-07-17 14:00:00.957010
Экономика 526,Болеслав,Ауд. 410,2025-07-24 18:00:00.957016
Экономика 526,Болеслав,Ауд. 347,2025-07-31 12:00:00.957021
Экономика 526,Болеслав,Ауд. 194,2025-08-07 11:00:00.957027
Экономика 526,Болеслав,Ауд. 342,2025-08-14 14:00:00.957033
Экономика 526,Болеслав,Ауд. 114,2025-08-21 14:00:00.957038
Экономика 526,Болеслав,Ауд. 181,2025-08-28 12:00:00.957044
Экономика 526,Болеслав,Ауд. 100,2025-09-04 13:00:00.957050
Психология 734,Кондрат,Ауд. 464,2025-05-22 13:00:00.957057
Психология 734,Кондрат,Ауд. 380,2025-05-29 14:00:00.957067
Психология 734,Кондрат,Ауд. 342,2025-06-05 09:00:00.957073
Психология 734,Кондрат,Ауд. 285,2025-06-12 17:00:00.957079
Психология 734,Кондрат,Ауд. 182,2025-06-19 08:00:00.957085
Психология 734,Кондрат,Ауд. 102,2025-06-26 17:00:00.957090
Психология 734,Кондрат,Ауд. 128,2025-07-03 16:00:00.957096
Психология 734,Кондрат,Ауд. 145,2025-07-10 12:00:00.957102
Психология 734,Кондрат,Ауд. 270,2025-07-17 11:00:00.957108
Психология 734,Кондрат,Ауд. 268,2025-07-24 14:00:00.957113
Психология 734,Кондрат,Ауд. 497,2025-07-31 18:00:00.957119
Психология 734,Кондрат,Ауд. 333,2025-08-07 11:00:00.957125
Психология 734,Кондрат,Ауд. 318,2025-08-14 15:00:00.957130
Психология 734,Кондрат,Ауд. 203,2025-08-21 08:00:00.957136
Психология 734,Кондрат,Ауд. 293,2025-08-28 12:00:00.957141
Психология 734,Кондрат,Ауд. 246,2025-09-04 13:00:00.957146
Биология 196,Кондрат,Ауд. 383,2025-05-22 10:00:00.957152
Биология 196,Кондрат,Ауд. 348,2025-05-29 17:00:00.957158
Биология 196,Кондрат,Ауд. 391,2025-06-05 10:00:00.957164
Биология 196,Кондрат,Ауд. 261,2025-06-12 17:00:00.957170
Биология 196,Кондрат,Ауд. 405,2025-06-19 10:00:00.957176
Биология 196,Кондрат,Ауд. 196,2025-06-26 10:00:00.957183
Биология 196,Кондрат,Ауд. 141,2025-07-03 12:00:00.957189
Биология 196,Кондрат,Ауд. 406,2025-07-10 08:00:00.957195
Биология 196,Кондрат,Ауд. 136,2025-07-17 13:00:00.957201
Биология 196,Кондрат,Ауд. 480,2025-07-24 18:00:00.957207
Биология 196,Кондрат,Ауд. 326,2025-07-31 15:00:00.957212
Биология 196,Кондрат,Ауд. 129,2025-08-07 17:00:00.957221
Биология 196,Кондрат,Ауд. 279,2025-08-14 12:00:00.957227
Биология 196,Кондрат,Ауд. 364,2025-08-21 12:00:00.957233
Биология 196,Кондрат,Ауд. 463,2025-08-28 16:00:00.957239
Биология 196,Кондрат,Ауд. 175,2025-09-04 17:00:00.957245
Медицина 307,Радован,Ауд. 436,2025-05-22 14:00:00.957251
Медицина 307,Радован,Ауд. 196,2025-05-29 13:00:00.957256
Медицина 307,Радован,Ауд. 286,2025-06-05 16:00:00.957262
Медицина 307,Радован,Ауд. 420,2025-06-12 17:00:00.957268
Медицина 307,Радован,Ауд. 453,2025-06-19 16:00:00.957274
Медицина 307,Радован,Ауд. 188,2025-06-26 14:00:00.957279
Медицина 307,Радован,Ауд. 230,2025-07-03 09:00:00.957285
Медицина 307,Радован,Ауд. 270,2025-07-10 13:00:00.957291
Медицина 307,Радован,Ауд. 373,2025-07-17 16:00:00.957296
Медицина 307,Радован,Ауд. 453,2025-07-24 12:00:00.957303
Медицина 307,Радован,Ауд. 153,2025-07-31 08:00:00.957309
Медицина 307,Радован,Ауд. 404,2025-08-07 10:00:00.957315
Медицина 307,Радован,Ауд. 388,2025-08-14 17:00:00.957321
Медицина 307,Радован,Ауд. 289,2025-08-21 10:00:00.957328
Медицина 307,Радован,Ауд. 286,2025-08-28 09:00:00.957334
Медицина 307,Радован,Ауд. 121,2025-09-04 11:00:00.957339
Психология 406,Радован,Ауд. 221,2025-05-22 17:00:00.957345
Психология 406,Радован,Ауд. 333,2025-05-29 15:00:00.957351
Психология 406,Радован,Ауд. 306,2025-06-05 16:00:00.957357
Психология 406,Радован,Ауд. 466,2025-06-12 14:00:00.957363
Психология 406,Радован,Ауд. 366,2025-06-19 15:00:00.957369
Психология 406,Радован,Ауд. 459,2025-06-26 18:00:00.957378
Психология 406,Радован,Ауд. 398,2025-07-03 14:00:00.957384
Психология 406,Радован,Ауд. 137,2025-07-10 16:00:00.957390
Психология 406,Радован,Ауд. 398,2025-07-17 12:00:00.957398
Психология 406,Радован,Ауд. 403,2025-07-24 13:00:00.957404
Психология 406,Радован,Ауд. 439,2025-07-31 14:00:00.957409
Психология 406,Радован,Ауд. 408,2025-08-07 10:00:00.957415
Психология 406,Радован,Ауд. 260,2025-08-14 09:00:00.957420
Психология 406,Радован,Ауд. 288,2025-08-21 12:00:00.957425
Психология 406,Радован,Ауд. 449,2025-08-28 17:00:00.957430
Психология 406,Радован,Ауд. 424,2025-09-04 18:00:00.957435
Право 815,Ирина,Ауд. 212,2025-05-22 16:00:00.957441
Право 815,Ирина,Ауд. 423,2025-05-29 17:00:00.957447
Право 815,Ирина,Ауд. 245,2025-06-05 09:00:00.957452
Право 815,Ирина,Ауд. 464,2025-06-12 09:00:00.957457
Право 815,Ирина,Ауд. 389,2025-06-19 10:00:00.957463
Право 815,Ирина,Ауд. 167,2025-06-26 11:00:00.957469
Право 815,Ирина,Ауд. 113,2025-07-03 10:00:00.957475
Право 815,Ирина,Ауд. 266,2025-07-10 15:00:00.957481
Право 815,Ирина,Ауд. 139,2025-07-17 17:00:00.957486
Право 815,Ирина,Ауд. 287,2025-07-24 11:00:00.957493
Право 815,Ирина,Ауд. 182,2025-07-31 15:00:00.957498
Право 815,Ирина,Ауд. 291,2025-08-07 18:00:00.957504
Право 815,Ирина,Ауд. 230,2025-08-14 15:00:00.957509
Право 815,Ирина,Ауд. 356,2025-08-21 13:00:00.957515
Право 815,Ирина,Ауд. 434,2025-08-28 08:00:00.957523
Право 815,Ирина,Ауд. 195,2025-09-04 12:00:00.957528
Математический анализ 867,Ирина,Ауд. 365,2025-05-22 16:00:00.957534
Математический анализ 867,Ирина,Ауд. 218,2025-05-29 11:00:00.957540
Математический анализ 867,Ирина,Ауд. 240,2025-06-05 18:00:00.957546
Математический анализ 867,Ирина,Ауд. 323,2025-06-12 15:00:00.957551
Математический анализ 867,Ирина,Ауд. 472,2025-06-19 09:00:00.957557
Математический анализ 867,Ирина,Ауд. 435,2025-06-26 13:00:00.957563
Математический анализ 867,Ирина,Ауд. 324,2025-07-03 09:00:00.957568
Математический анализ 867,Ирина,Ауд. 225,2025-07-10 14:00:00.957574
Математический анализ 867,Ирина,Ауд. 240,2025-07-17 10:00:00.957579
Математический анализ 867,Ирина,Ауд. 363,2025-07-24 08:00:00.957584
Математический анализ 867,Ирина,Ауд. 277,2025-07-31 10:00:00.957590
Математический анализ 867,Ирина,Ауд. 468,2025-08-07 14:00:00.957596
Математический анализ 867,Ирина,Ауд. 158,2025-08-14 08:00:00.957601
Математический анализ 867,Ирина,Ауд. 353,2025-08-21 14:00:00.957606
Математический анализ 867,Ирина,Ауд. 458,2025-08-28 16:00:00.957612
Математический анализ 867,Ирина,Ауд. 354,2025-09-04 10:00:00.957617
Программирование 984,Гедеон,Ауд. 448,2025-05-22 16:00:00.957623
Программирование 984,Гедеон,Ауд. 131,2025-05-29 09:00:00.957629
Программирование 984,Гедеон,Ауд. 202,2025-06-05 17:00:00.957635
Программирование 984,Гедеон,Ауд. 300,2025-06-12 17:00:00.957641
Программирование 984,Гедеон,Ауд. 472,2025-06-19 10:00:00.957647
Программирование 984,Гедеон,Ауд. 303,2025-06-26 11:00:00.957652
Программирование 984,Гедеон,Ауд. 322,2025-07-03 18:00:00.957658
Программирование 984,Гедеон,Ауд. 372,2025-07-10 17:00:00.957666
Программирование 984,Гедеон,Ауд. 312,2025-07-17 09:00:00.957672
Программирование 984,Гедеон,Ауд. 196,2025-07-24 10:00:00.957679
Программирование 984,Гедеон,Ауд. 162,2025-07-31 11:00:00.957685
Программирование 984,Гедеон,Ауд. 109,2025-08-07 17:00:00.957691
Программирование 984,Гедеон,Ауд. 106,2025-08-14 10:00:00.957696
Программирование 984,Гедеон,Ауд. 272,2025-08-21 11:00:00.957702
Программирование 984,Гедеон,Ауд. 396,2025-08-28 14:00:00.957708
Программирование 984,Гедеон,Ауд. 304,2025-09-04 16:00:00.957713
История 393,Гедеон,Ауд. 263,2025-05-22 13:00:00.957719
История 393,Гедеон,Ауд. 109,2025-05-29 18:00:00.957725
История 393,Гедеон,Ауд. 337,2025-06-05 15:00:00.957730
История 393,Гедеон,Ауд. 166,2025-06-12 14:00:00.957736
История 393,Гедеон,Ауд. 274,2025-06-19 17:00:00.957741
История 393,Гедеон,Ауд. 278,2025-06-26 18:00:00.957747
История 393,Гедеон,Ауд. 359,2025-07-03 09:00:00.957752
История 393,Гедеон,Ауд. 398,2025-07-10 16:00:00.957759
История 393,Гедеон,Ауд. 493,2025-07-17 12:00:00.957765
История 393,Гедеон,Ауд. 337,2025-07-24 18:00:00.957771
История 393,Гедеон,Ауд. 131,2025-07-31 09:00:00.957776
История 393,Гедеон,Ауд. 358,2025-08-07 13:00:00.957781
История 393,Гедеон,Ауд. 193,2025-08-14 08:00:00.957787
История 393,Гедеон,Ауд. 196,2025-08-21 08:00:00.957792
История 393,Гедеон,Ауд. 199,2025-08-28 10:00:00.957798
История 393,Гедеон,Ауд. 235,2025-09-04 08:00:00.957804
История 155,Измаил,Ауд. 309,2025-05-22 09:00:00.957810
История 155,Измаил,Ауд. 185,2025-05-29 11:00:00.957819
История 155,Измаил,Ауд. 168,2025-06-05 10:00:00.957846
История 155,Измаил,Ауд. 341,2025-06-12 14:00:00.957853
История 155,Измаил,Ауд. 192,2025-06-19 09:00:00.957858
История 155,Измаил,Ауд. 360,2025-06-26 15:00:00.957864
История 155,Измаил,Ауд. 312,2025-07-03 12:00:00.957869
История 155,Измаил,Ауд. 327,2025-07-10 18:00:00.957875
История 155,Измаил,Ауд. 120,2025-07-17 10:00:00.957880
История 155,Измаил,Ауд. 183,2025-07-24 14:00:00.957886
История 155,Измаил,Ауд. 337,2025-07-31 15:00:00.957892
История 155,Измаил,Ауд. 478,2025-08-07 09:00:00.957898
История 155,Измаил,Ауд. 221,2025-08-14 10:00:00.957904
История 155,Измаил,Ауд. 454,2025-08-21 13:00:00.957915
История 155,Измаил,Ауд. 266,2025-08-28 16:00:00.957921
История 155,Измаил,Ауд. 487,2025-09-04 12:00:00.957926
Химия 964,Измаил,Ауд. 384,2025-05-22 12:00:00.957933
Химия 964,Измаил,Ауд. 468,2025-05-29 12:00:00.957939
Химия 964,Измаил,Ауд. 289,2025-06-05 16:00:00.957945
Химия 964,Измаил,Ауд. 257,2025-06-12 09:00:00.957950
Химия 964,Измаил,Ауд. 480,2025-06-19 17:00:00.957956
Химия 964,Измаил,Ауд. 299,2025-06-26 16:00:00.957961
Химия 964,Измаил,Ауд. 482,2025-07-03 18:00:00.957967
Химия 964,Измаил,Ауд. 414,2025-07-10 18:00:00.957973
Химия 964,Измаил,Ауд. 244,2025-07-17 10:00:00.957979
Химия 964,Измаил,Ауд. 286,2025-07-24 08:00:00.957984
Химия 964,Измаил,Ауд. 258,2025-07-31 08:00:00.957990
Химия 964,Измаил,Ауд. 345,2025-08-07 12:00:00.958009
Химия 964,Измаил,Ауд. 494,2025-08-14 10:00:00.958015
Химия 964,Измаил,Ауд. 379,2025-08-21 17:00:00.958021
Химия 964,Измаил,Ауд. 243,2025-08-28 12:00:00.958027
Химия 964,Измаил,Ауд. 182,2025-09-04 16:00:00.958033
Право 141,Мирон,Ауд. 172,2025-05-22 16:00:00.958040
Право 141,Мирон,Ауд. 252,2025-05-29 12:00:00.958045
Право 141,Мирон,Ауд. 409,2025-06-05 14:00:00.958052
Право 141,Мирон,Ауд. 291,2025-06-12 18:00:00.958057
Право 141,Мирон,Ауд. 465,2025-06-19 18:00:00.958063
Право 141,Мирон,Ауд. 287,2025-06-26 15:00:00.958069
Право 141,Мирон,Ауд. 369,2025-07-03 13:00:00.958074
Право 141,Мирон,Ауд. 105,2025-07-10 17:00:00.958080
Право 141,Мирон,Ауд. 349,2025-07-17 18:00:00.958085
Право 141,Мирон,Ауд. 394,2025-07-24 12:00:00.958090
Право 141,Мирон,Ауд. 461,2025-07-31 09:00:00.958096
Право 141,Мирон,Ауд. 290,2025-08-07 18:00:00.958101
Право 141,Мирон,Ауд. 471,2025-08-14 17:00:00.958106
Право 141,Мирон,Ауд. 233,2025-08-21 11:00:00.958111
Право 141,Мирон,Ауд. 482,2025-08-28 08:00:00.958116
Право 141,Мирон,Ауд. 285,2025-09-04 11:00:00.958121
Программирование 151,Мирон,Ауд. 164,2025-05-22 18:00:00.958127
Программирование 151,Мирон,Ауд. 214,2025-05-29 18:00:00.958132
Программирование 151,Мирон,Ауд. 114,2025-06-05 14:00:00.958137
Программирование 151,Мирон,Ауд. 330,2025-06-12 17:00:00.958144
Программирование 151,Мирон,Ауд. 236,2025-06-19 08:00:00.958149
Программирование 151,Мирон,Ауд. 132,2025-06-26 09:00:00.958156
Программирование 151,Мирон,Ауд. 450,2025-07-03 16:00:00.958160
Программирование 151,Мирон,Ауд. 391,2025-07-10 11:00:00.958165
Программирование 151,Мирон,Ауд. 355,2025-07-17 11:00:00.958170
Программирование 151,Мирон,Ауд. 423,2025-07-24 15:00:00.958175
Программирование 151,Мирон,Ауд. 309,2025-07-31 18:00:00.958180
Программирование 151,Мирон,Ауд. 425,2025-08-07 18:00:00.958186
Программирование 151,Мирон,Ауд. 282,2025-08-14 15:00:00.958192
Программирование 151,Мирон,Ауд. 350,2025-08-21 15:00:00.958197
Программирование 151,Мирон,Ауд. 106,2025-08-28 18:00:00.958202
Программирование 151,Мирон,Ауд. 459,2025-09-04 16:00:00.958207
Право 429,Владимир,Ауд. 256,2025-05-22 16:00:00.958213
Право 429,Владимир,Ауд. 463,2025-05-29 09:00:00.958218
Право 429,Владимир,Ауд. 476,2025-06-05 16:00:00.958223
Право 429,Владимир,Ауд. 444,2025-06-12 18:00:00.958229
Право 429,Владимир,Ауд. 357,2025-06-19 17:00:00.958234
Право 429,Владимир,Ауд. 141,2025-06-26 08:00:00.958239
Право 429,Владимир,Ауд. 299,2025-07-03 09:00:00.958244
Право 429,Владимир,Ауд. 272,2025-07-10 17:00:00.958249
Право 429,Владимир,Ауд. 416,2025-07-17 09:00:00.958255
Право 429,Владимир,Ауд. 183,2025-07-24 13:00:00.958259
Право 429,Владимир,Ауд. 138,2025-07-31 15:00:00.958264
Право 429,Владимир,Ауд. 209,2025-08-07 09:00:00.958270
Право 429,Владимир,Ауд. 216,2025-08-14 09:00:00.958275
Право 429,Владимир,Ауд. 358,2025-08-21 14:00:00.958281
Право 429,Владимир,Ауд. 179,2025-08-28 10:00:00.958285
Право 429,Владимир,Ауд. 211,2025-09-04 13:00:00.958290
Программирование 182,Владимир,Ауд. 197,2025-05-22 09:00:00.958296
Программирование 182,Владимир,Ауд. 376,2025-05-29 11:00:00.958301
Программирование 182,Владимир,Ауд. 403,2025-06-05 15:00:00.958307
Программирование 182,Владимир,Ауд. 406,2025-06-12 13:00:00.958312
Программирование 182,Владимир,Ауд. 240,2025-06-19 08:00:00.958317
Программирование 182,Владимир,Ауд. 285,2025-06-26 14:00:00.958322
Программирование 182,Владимир,Ауд. 254,2025-07-03 17:00:00.958327
Программирование 182,Владимир,Ауд. 448,2025-07-10 10:00:00.958332
Программирование 182,Владимир,Ауд. 486,2025-07-17 10:00:00.958337
Программирование 182,Владимир,Ауд. 215,2025-07-24 11:00:00.958342
Программирование 182,Владимир,Ауд. 444,2025-07-31 12:00:00.958349
Программирование 182,Владимир,Ауд. 472,2025-08-07 09:00:00.958365
Программирование 182,Владимир,Ауд. 337,2025-08-14 15:00:00.958375
Программирование 182,Владимир,Ауд. 338,2025-08-21 09:00:00.958380
Программирование 182,Владимир,Ауд. 116,2025-08-28 10:00:00.958385
Программирование 182,Владимир,Ауд. 140,2025-09-04 09:00:00.958391
Медицина 810,Захар,Ауд. 467,2025-05-22 18:00:00.958398
Медицина 810,Захар,Ауд. 386,2025-05-29 17:00:00.958408
Медицина 810,Захар,Ауд. 205,2025-06-05 09:00:00.958413
Медицина 810,Захар,Ауд. 429,2025-06-12 08:00:00.958419
Медицина 810,Захар,Ауд. 349,2025-06-19 14:00:00.958425
Медицина 810,Захар,Ауд. 360,2025-06-26 18:00:00.958430
Медицина 810,Захар,Ауд. 283,2025-07-03 13:00:00.958436
Медицина 810,Захар,Ауд. 330,2025-07-10 10:00:00.958441
Медицина 810,Захар,Ауд. 353,2025-07-17 12:00:00.958446
Медицина 810,Захар,Ауд. 143,2025-07-24 18:00:00.958451
Медицина 810,Захар,Ауд. 292,2025-07-31 10:00:00.958456
Медицина 810,Захар,Ауд. 227,2025-08-07 10:00:00.958462
Медицина 810,Захар,Ауд. 192,2025-08-14 14:00:00.960034
Медицина 810,Захар,Ауд. 192,2025-08-21 11:00:00.960054
Медицина 810,Захар,Ауд. 200,2025-08-28 17:00:00.960066
Медицина 810,Захар,Ауд. 223,2025-09-04 14:00:00.960072
Математический анализ 763,Захар,Ауд. 437,2025-05-22 17:00:00.960082
Математический анализ 763,Захар,Ауд. 141,2025-05-29 09:00:00.960088
Математический анализ 763,Захар,Ауд. 462,2025-06-05 12:00:00.960093
Математический анализ 763,Захар,Ауд. 341,2025-06-12 14:00:00.960099
Математический анализ 763,Захар,Ауд. 207,2025-06-19 08:00:00.960104
Математический анализ 763,Захар,Ауд. 280,2025-06-26 08:00:00.960110
Математический анализ 763,Захар,Ауд. 366,2025-07-03 10:00:00.960123
Математический анализ 763,Захар,Ауд. 246,2025-07-10 12:00:00.960130
Математический анализ 763,Захар,Ауд. 136,2025-07-17 12:00:00.960136
Математический анализ 763,Захар,Ауд. 164,2025-07-24 14:00:00.960141
Математический анализ 763,Захар,Ауд. 483,2025-07-31 16:00:00.960146
Математический анализ 763,Захар,Ауд. 368,2025-08-07 12:00:00.960152
Математический анализ 763,Захар,Ауд. 414,2025-08-14 10:00:00.960158
Математический анализ 763,Захар,Ауд. 259,2025-08-21 17:00:00.960169
Математический анализ 763,Захар,Ауд. 342,2025-08-28 17:00:00.960180
Математический анализ 763,Захар,Ауд. 185,2025-09-04 11:00:00.960186
Биология 731,Степан,Ауд. 113,2025-05-22 16:00:00.965600
Биология 731,Степан,Ауд. 163,2025-05-29 15:00:00.965616
Биология 731,Степан,Ауд. 398,2025-06-05 09:00:00.965624
Биология 731,Степан,Ауд. 389,2025-06-12 13:00:00.965631
Биология 731,Степан,Ауд. 472,2025-06-19 15:00:00.965637
Биология 731,Степан,Ауд. 479,2025-06-26 16:00:00.965642
Биология 731,Степан,Ауд. 406,2025-07-03 11:00:00.965648
Биология 731,Степан,Ауд. 240,2025-07-10 08:00:00.965654
Биология 731,Степан,Ауд. 292,2025-07-17 12:00:00.965660
